timestamp,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_coverage,weather_category,weather_description
1702616400,22.439999999999998,22.78000000000003,1022,78,21.0,23.33000000000004,24.084000000000003,60,100,Clouds,Clouds
1702620000,21.890000000000043,22.25,1021,81,20.560000000000002,23.33000000000004,37.044,70,100,Clouds,Clouds
1702623600,22.27000000000004,22.640000000000043,1020,80,21.110000000000014,23.010000000000048,38.88,70,100,Clouds,Clouds
1702627200,21.890000000000043,22.28000000000003,1020,82,21.0,22.79000000000002,24.084000000000003,60,100,Clouds,Clouds
1702630800,22.090000000000032,22.470000000000027,1020,81,21.0,23.010000000000048,22.212,60,100,Clouds,Clouds
1702634400,21.230000000000018,21.629999999999995,1021,85,20.0,22.78000000000003,22.212,50,100,Rain,Rain
1702638000,21.30000000000001,21.680000000000007,1021,84,19.439999999999998,22.78000000000003,20.376,50,100,Clouds,Clouds
1702641600,21.879999999999995,22.24000000000001,1021,81,20.560000000000002,22.78000000000003,31.5,60,100,Clouds,Clouds
1702645200,22.05000000000001,22.400000000000034,1021,80,20.560000000000002,23.010000000000048,29.628000000000004,70,100,Clouds,Clouds
1702648800,21.450000000000045,21.840000000000032,1022,84,20.0,23.010000000000048,24.084000000000003,60,100,Clouds,Clouds
1702652400,22.28000000000003,22.629999999999995,1022,79,21.670000000000016,23.33000000000004,27.791999999999998,60,100,Clouds,Clouds
1702656000,22.74000000000001,23.03000000000003,1022,75,22.0,23.340000000000032,29.628000000000004,70,100,Clouds,Clouds
1702659600,22.82000000000005,22.930000000000007,1021,68,22.77000000000004,23.010000000000048,35.172,60,100,Clouds,Clouds
1702663200,23.05000000000001,23.260000000000048,1021,71,22.78000000000003,23.340000000000032,42.588,70,100,Clouds,Clouds
1702666800,22.450000000000045,22.760000000000048,1020,77,21.680000000000007,24.010000000000048,38.88,70,100,Clouds,Clouds
1702670400,22.58000000000004,22.879999999999995,1019,76,21.680000000000007,23.33000000000004,25.92,60,100,Clouds,Clouds
1702674000,21.960000000000036,22.27000000000004,1018,79,21.0,23.010000000000048,27.791999999999998,70,100,Clouds,Clouds
1702677600,21.58000000000004,21.99000000000001,1019,84,20.560000000000002,23.010000000000048,22.212,60,100,Clouds,Clouds
1702681200,21.230000000000018,21.52000000000004,1020,81,20.0,22.230000000000018,18.503999999999998,50,100,Mist,Mist
1702684800,21.340000000000032,21.700000000000045,1020,83,19.439999999999998,23.010000000000048,38.88,70,100,Haze,Haze
1702688400,21.57000000000005,22.0,1019,85,20.010000000000048,23.010000000000048,33.336,60,100,Rain,Rain
1702692000,22.02000000000004,22.470000000000027,1020,84,21.0,23.010000000000048,33.336,70,100,Clouds,Clouds
1702695600,22.58000000000004,23.03000000000003,1020,82,21.680000000000007,23.340000000000032,31.5,70,100,Clouds,Clouds
1702699200,22.100000000000023,22.610000000000014,1020,86,21.0,23.010000000000048,33.336,70,75,Clouds,Clouds
1702702800,22.060000000000002,22.590000000000032,1019,87,21.670000000000016,22.79000000000002,24.084000000000003,70,100,Clouds,Clouds
1702706400,21.900000000000034,22.470000000000027,1019,89,21.0,22.77000000000004,27.791999999999998,70,100,Clouds,Clouds
1702710000,21.890000000000043,22.510000000000048,1018,91,21.0,22.77000000000004,22.212,80,100,Clouds,Clouds
1702713600,21.900000000000034,22.52000000000004,1017,91,21.110000000000014,22.230000000000018,18.503999999999998,80,100,Mist,Mist
1702717200,22.24000000000001,22.82000000000005,1018,88,21.670000000000016,23.010000000000048,25.92,90,75,Clouds,Clouds
1702720800,22.480000000000018,23.110000000000014,1017,89,21.670000000000016,23.340000000000032,27.791999999999998,100,100,Clouds,Clouds
1702724400,22.02000000000004,22.680000000000007,1018,92,21.670000000000016,22.79000000000002,9.648000000000001,76,100,Clouds,Clouds
1702728000,22.439999999999998,23.090000000000032,1017,90,21.110000000000014,23.340000000000032,31.5,100,100,Clouds,Clouds
